"Archive name","Archive code","City","Country","Specific thanks"
"Cambridge Museum of Archaeology & Ethnography","CMAE","Cambridge","England","
"
"Dipartimento di Scienze Geologiche e Paleontologiche dell'Universita di Ferrara","UNIFE","Ferrara","Italy ","Prof. Benedetto Sala"
"Harrison Zoological Museum","HAZM","Sevenoaks","England","Dr. Paul Bates and Dr. David Harrison"
"Hungarian Institute of Geology","HIGB","Budapest","Hungary","Dr. Lázló Kordos"
"Hungarian Natural History Museum","NHMH","Budapest","Hungary","Dr. Mihai Gasparic"
"Institut für Paläontologie der Universität Wien","IPUW","Vienna","Austria","Dr. Doris Nagel and Dr. Gernot Radeber"
"Institute for Quaternary Paleontology and Geology","CRIQ","Zagreb","Croatia","Dr. Jadranka Mauch-Lenardic"
"Institute of Speleology ``Emil Racovitza''","ISER","Bucharest","Romania","Mr. Alexandru Petculescu"
"Institute of Systematics and Evolution of Animals, Polish Academy of Sciences","ISEK","Krakow","Poland","Prof. Adam Nadachowski"
"Manchester University Museum","MUM","Manchester","England","Mr. David Gelsthorpe"
"Moscow Institute of Geography, Russian Academy of Sciences","MIGG","Moscow","Russia","Dr. Anastasia Markova"
"Moscow Institute of Palaeontology","MIPA","Moscow","Russia","Prof. Alexander Agandjanian, Dr. Valentina Rossina, and Dr. Natalia Serdyuk"
"Museé National de Préhistoire","LEMP","Les Eyzies-de-Tayac-Sireuil","France ","Mr. Stéphane Madelaine"
"Museum für Naturkunde, Berlin","MFNB","Berlin","Germany ","Prof. Wolf-Dieter Heinrich"
"National Museum of Nature of the Academy of Sciences of Ukraine","KIEV","Kiev","Ukraine","Prof. Leonid Rekovets"
"National Museum of Slovenia","SLOV","Ljubljana","Slovenia","Dr. Borut Toškan and Dr. Neva Trampuž Orel"
"Natural History Museum (London)","NHML","London","England","Mr. Andrew Currant, Ms. Daphne Hills, Ms. Paula Jenkins, Ms. Louise Tomsett,"
"Rheinland-Pfalz Natural History Collection","MAIN","Mainz","Germany ","Mr. Thomas Engel, Dr. Thomas Keller, and Dr. Herbert Lutz"
"Royal Belgian Institute of Natural Sciences","RBINS","Brussels","Belgium","Dr. Mietje Germonpré and Dr. Georges Lenglet"
"Senckenberg Forschungsinstitut und Naturmuseum, Frankfurt","SFIF","Frankfurt","Germany ","Dr. Angelika Helfricht and Dr. Gerhard Storch"
"Senckenberg Forschungsstation für Quartärpaläontologie, Weimar","SFIW","Weimar","Germany ","Prof. Lutz Maul"
"Sheffield City Museum","SCM","Sheffield","England","Ms. Gill Woolrich"
"Universiteit Leiden","LEID","Leiden","Netherlands","Prof. Thijs van Kolfschoten"
"University of Wroc?aw","UNW","Wroclaw","Poland","Mr. Pawel Socha"
"Zoological Museum of Moscow State University","ZMMS","Moscow","Russia","Dr. Vladimir Lebedev"
