"","OTU","OTUID","min","mean","max","sd","count"
"56","Abzac",1012,69.9,79.9,89.9,6.3,17
"46","Aggeel",987,99.6,108,119.3,9,5
"38","Bolshoi Tiganye",973,77.5,89,100.9,7.9,10
"70","Boxgrove 4b",10036,95.2,117,145.2,15.7,16
"69","Boxgrove 4c",10035,101.3,120.1,144.6,12.1,17
"66","Burgtonna South Black-earth",1063,83,98.9,115.7,9,9
"68","Central Scotland",10029,78.9,88.8,109.9,11,13
"49","Cheshskaya Guba",990,74.1,85.4,98,7.3,19
"23","Chigirin",812,89.3,105,117.2,8.1,9
"64","Clacton Channel IV",1047,91.3,103,119,7.5,19
"18","Courbet",791,66.8,80.1,98.7,8.5,29
"3","Cudmore Grove",108,99,115,132.2,8.8,29
"43","Don Delta",984,76.6,82.9,85.2,3,7
"27","Donskaya Negatchevka",837,89.6,107.4,116.7,7.4,12
"34","Dzerava skala Cave",928,74.5,83.5,99.2,4.8,24
"33","Fortuna utca 16-18/2",924,101.8,112.7,135.4,8.3,17
"53","Frankfurt am Main",1008,77.4,83,86.7,3.7,5
"21","Fuchsloch im Krockstein",801,69.9,85.8,102.7,9.1,13
"60","Ghent",1033,69,81.4,98.2,7.9,18
"29","Grotta del Broion, Sala Grande N",857,92.8,100.6,109.7,5.8,10
"28","Grotta del Broion, Sala Grande Q4",852,88.8,94.7,104.7,5,8
"30","Grotta del Broion, Sala Grande Q5",858,80.6,99.2,107.2,7.5,11
"31","Grotta del Broion, Sala Grande R1",859,86.1,97,108.4,7.4,16
"16","Gunki II",737,92.4,108.9,129.6,11.9,9
"37","Horvati-lik 13",945,81.5,90.1,96.5,5.5,8
"36","Horvati-lik 8",944,76.9,88.1,96.7,5.1,19
"35","Horvati-lik 9a",941,77.9,89.8,107.8,7.4,21
"10","Hundsheim",426,108.9,127,145.3,7.6,31
"40","Ilovayski Kordon",981,100.4,115.2,134.5,9.6,11
"44","Kabardino-Balkariya",985,75.6,84.8,96.6,5.7,19
"47","Kama-Volga",988,69.8,89,123.4,15.5,13
"51","Kartstein",998,69.2,79,93.1,8.1,7
"25","Korotoyak-4",826,107.2,119.8,130.3,5.7,20
"71","Kozi Grzbiet 2",10037,97.3,128.5,177.7,14.5,32
"26","Kuznetsovka",828,97.4,121.2,144.4,10.5,89
"41","Leninsky",982,80.1,90,101.8,6.5,20
"54","Linares de Riofrio",1009,92.2,100.3,109.3,6.4,7
"61","Marie-Jeanne Cave 2",1034,69.5,75.8,87,5.3,11
"11","Marie-Jeanne Cave 4",542,72.5,82.9,95.9,7.2,9
"62","Marie-Jeanne Cave 6",1035,81.7,87.8,92.1,3.6,7
"15","Medzhybozh-2",735,94.9,105.8,114.5,7.4,9
"4","Merlin's Cave",167,59.8,83.9,122.2,9.9,64
"8","Miesenheim I",420,98.5,118.9,136.3,10.5,23
"9","Mosbach 2",421,90.8,117,171.2,14.5,75
"48","Moscow",989,75.3,86.3,101.2,6.4,21
"59","Novomirgorod",1018,72.8,95,108.6,9.7,13
"22","Novonekrasovka upper",808,93.5,101.6,118.7,8.8,6
"6","Ossom's Eyrie Cave",266,65.8,85.5,104.4,9,37
"32","Pesko ""brick red"" strata",922,71.2,81.5,94.6,6.3,26
"17","Pilisszanto",749,79.3,88.1,96.8,5.7,10
"14","Pisede III",665,74.4,88.9,101.7,7,13
"52","Pisede IV&V",1003,78.1,91.3,108.5,8.2,25
"55","Poeymau BS",1011,65.6,77,88.8,7.3,15
"45","Prokhladny",986,103.1,111.9,118.6,4.3,15
"57","Regourdou 5",1014,82.8,97.5,102,6.5,8
"58","Regourdou 7",1015,85.7,96.2,116.2,7.8,16
"7","Rotbav-Dealul Tiganilor Clay-A",390,104.7,119.7,139,9,26
"24","Rybnaya Sloboda",814,93.9,107.6,128.8,12,6
"50","Schoningen 13-II-4",996,88.5,106.7,132.1,9.2,26
"13","Tonchesberg II 11-13",647,84.6,96.2,110.1,8.3,15
"19","Tornewton Cave Red Cave Earth",792,91.7,99.4,110.2,5.5,10
"12","Trou du Frontal",544,66.8,81,91.9,6.9,9
"42","Tsimlyansk",983,80,89.2,103.8,7.2,15
"20","Vindija E-F",798,83.8,90.9,98.5,4.6,15
"65","Vindija G",1061,81.8,96.3,109.2,6.9,20
"39","Vladimirovka 2",977,88.5,104.3,119.5,7,16
"67","Welsh Borders",10028,74.9,84,104.2,7.4,22
"2","West Runton Freshwater Bed",51,106.5,120,142.1,10.3,35
"1","Westbury 11",49,112.5,121.9,130.6,6.1,12
"63","Westbury 14",1037,108.5,122.4,143.3,12.8,10
"5","Wigber Low 26",259,72.1,87.3,101.2,5.8,49
